Age,Year,Rate,Count,Pop
00 years,1975-2019,0.0143,2,"13,983,380"
00 years,1975,0,0,"240,660"
00 years,1976,0,0,"240,444"
00 years,1977,0,0,"254,975"
00 years,1978,0,0,"262,016"
00 years,1979,0,0,"273,282"
00 years,1980,0,0,"287,392"
00 years,1981,0,0,"293,927"
00 years,1982,0,0,"296,658"
00 years,1983,0,0,"297,450"
00 years,1984,0,0,"289,928"
00 years,1985,0,0,"297,148"
00 years,1986,0,0,"296,899"
00 years,1987,0,0,"296,315"
00 years,1988,0,0,"300,897"
00 years,1989,0,0,"309,329"
00 years,1990,0,0,"321,217"
00 years,1991,0,0,"320,187"
00 years,1992,0,0,"318,037"
00 years,1993,0,0,"313,373"
00 years,1994,0.3232,1,"309,375"
00 years,1995,0,0,"307,220"
00 years,1996,0,0,"305,182"
00 years,1997,0,0,"307,536"
00 years,1998,0,0,"309,443"
00 years,1999,0,0,"311,751"
00 years,2000,0,0,"317,417"
00 years,2001,0,0,"331,906"
00 years,2002,0,0,"326,987"
00 years,2003,0,0,"329,998"
00 years,2004,0,0,"332,702"
00 years,2005,0,0,"330,298"
00 years,2006,0,0,"338,138"
00 years,2007,0,0,"347,567"
00 years,2008,0,0,"344,110"
00 years,2009,0,0,"338,579"
00 years,2010,0,0,"334,404"
00 years,2011,0,0,"333,346"
00 years,2012,0.3035,1,"329,536"
00 years,2013,0,0,"331,397"
00 years,2014,0,0,"331,700"
00 years,2015,0,0,"333,590"
00 years,2016,0,0,"332,856"
00 years,2017,0,0,"326,466"
00 years,2018,0,0,"317,997"
00 years,2019,0,0,"313,745"
01 years,1975-2019,0.0218,3,"13,751,841"
01 years,1975,0,0,"228,144"
01 years,1976,0,0,"235,560"
01 years,1977,0,0,"234,631"
01 years,1978,0,0,"247,977"
01 years,1979,0,0,"254,057"
01 years,1980,0,0,"265,520"
01 years,1981,0,0,"277,323"
01 years,1982,0,0,"282,245"
01 years,1983,0,0,"285,856"
01 years,1984,0,0,"286,612"
01 years,1985,0,0,"280,202"
01 years,1986,0,0,"287,337"
01 years,1987,0,0,"288,920"
01 years,1988,0,0,"290,128"
01 years,1989,0,0,"295,293"
01 years,1990,0,0,"306,734"
01 years,1991,0,0,"318,213"
01 years,1992,0,0,"318,182"
01 years,1993,0,0,"317,547"
01 years,1994,0,0,"312,514"
01 years,1995,0,0,"308,956"
01 years,1996,0,0,"307,337"
01 years,1997,0,0,"305,827"
01 years,1998,0,0,"308,973"
01 years,1999,0,0,"311,123"
01 years,2000,0,0,"312,031"
01 years,2001,0,0,"315,374"
01 years,2002,0,0,"328,081"
01 years,2003,0,0,"323,053"
01 years,2004,0,0,"325,859"
01 years,2005,0,0,"329,852"
01 years,2006,0,0,"328,751"
01 years,2007,0,0,"335,340"
01 years,2008,0,0,"344,259"
01 years,2009,0,0,"340,535"
01 years,2010,0,0,"334,058"
01 years,2011,0,0,"335,810"
01 years,2012,0,0,"334,176"
01 years,2013,0,0,"330,921"
01 years,2014,0,0,"332,574"
01 years,2015,0.3006,1,"332,690"
01 years,2016,0,0,"335,068"
01 years,2017,0,0,"333,890"
01 years,2018,0,0,"326,275"
01 years,2019,0.6289,2,"318,033"
02 years,1975-2019,0,0,"13,659,668"
02 years,1975,0,0,"229,408"
02 years,1976,0,0,"227,194"
02 years,1977,0,0,"235,144"
02 years,1978,0,0,"234,943"
02 years,1979,0,0,"249,076"
02 years,1980,0,0,"254,956"
02 years,1981,0,0,"265,254"
02 years,1982,0,0,"275,363"
02 years,1983,0,0,"280,673"
02 years,1984,0,0,"283,674"
02 years,1985,0,0,"284,956"
02 years,1986,0,0,"278,565"
02 years,1987,0,0,"286,949"
02 years,1988,0,0,"289,906"
02 years,1989,0,0,"291,805"
02 years,1990,0,0,"298,959"
02 years,1991,0,0,"306,375"
02 years,1992,0,0,"317,338"
02 years,1993,0,0,"318,262"
02 years,1994,0,0,"316,366"
02 years,1995,0,0,"311,059"
02 years,1996,0,0,"307,727"
02 years,1997,0,0,"306,086"
02 years,1998,0,0,"304,611"
02 years,1999,0,0,"306,850"
02 years,2000,0,0,"308,653"
02 years,2001,0,0,"310,981"
02 years,2002,0,0,"313,616"
02 years,2003,0,0,"325,029"
02 years,2004,0,0,"321,223"
02 years,2005,0,0,"324,840"
02 years,2006,0,0,"331,105"
02 years,2007,0,0,"329,898"
02 years,2008,0,0,"337,060"
02 years,2009,0,0,"345,889"
02 years,2010,0,0,"343,902"
02 years,2011,0,0,"335,410"
02 years,2012,0,0,"337,066"
02 years,2013,0,0,"335,825"
02 years,2014,0,0,"331,901"
02 years,2015,0,0,"334,074"
02 years,2016,0,0,"334,508"
02 years,2017,0,0,"335,934"
02 years,2018,0,0,"334,694"
02 years,2019,0,0,"326,561"
03 years,1975-2019,0,0,"13,634,851"
03 years,1975,0,0,"244,790"
03 years,1976,0,0,"234,072"
03 years,1977,0,0,"231,814"
03 years,1978,0,0,"240,260"
03 years,1979,0,0,"240,446"
03 years,1980,0,0,"254,968"
03 years,1981,0,0,"258,990"
03 years,1982,0,0,"267,180"
03 years,1983,0,0,"277,283"
03 years,1984,0,0,"281,326"
03 years,1985,0,0,"283,919"
03 years,1986,0,0,"284,244"
03 years,1987,0,0,"278,454"
03 years,1988,0,0,"287,432"
03 years,1989,0,0,"290,225"
03 years,1990,0,0,"293,365"
03 years,1991,0,0,"298,356"
03 years,1992,0,0,"306,447"
03 years,1993,0,0,"319,217"
03 years,1994,0,0,"319,679"
03 years,1995,0,0,"318,643"
03 years,1996,0,0,"314,424"
03 years,1997,0,0,"311,965"
03 years,1998,0,0,"311,010"
03 years,1999,0,0,"309,569"
03 years,2000,0,0,"310,106"
03 years,2001,0,0,"307,482"
03 years,2002,0,0,"308,747"
03 years,2003,0,0,"311,256"
03 years,2004,0,0,"322,201"
03 years,2005,0,0,"319,215"
03 years,2006,0,0,"324,557"
03 years,2007,0,0,"330,781"
03 years,2008,0,0,"329,510"
03 years,2009,0,0,"336,789"
03 years,2010,0,0,"343,551"
03 years,2011,0,0,"345,115"
03 years,2012,0,0,"336,509"
03 years,2013,0,0,"338,021"
03 years,2014,0,0,"336,798"
03 years,2015,0,0,"333,540"
03 years,2016,0,0,"335,894"
03 years,2017,0,0,"335,515"
03 years,2018,0,0,"336,661"
03 years,2019,0,0,"334,525"
04 years,1975-2019,0.0073,1,"13,670,851"
04 years,1975,0,0,"268,059"
04 years,1976,0,0,"248,851"
04 years,1977,0,0,"237,721"
04 years,1978,0,0,"235,456"
04 years,1979,0,0,"244,006"
04 years,1980,0,0,"242,906"
04 years,1981,0,0,"255,871"
04 years,1982,0,0,"258,512"
04 years,1983,0,0,"267,357"
04 years,1984,0,0,"277,003"
04 years,1985,0,0,"281,574"
04 years,1986,0,0,"284,113"
04 years,1987,0,0,"285,924"
04 years,1988,0,0,"281,546"
04 years,1989,0,0,"291,259"
04 years,1990,0,0,"296,003"
04 years,1991,0.3368,1,"296,917"
04 years,1992,0,0,"302,001"
04 years,1993,0,0,"311,385"
04 years,1994,0,0,"323,288"
04 years,1995,0,0,"323,743"
04 years,1996,0,0,"323,287"
04 years,1997,0,0,"319,464"
04 years,1998,0,0,"317,249"
04 years,1999,0,0,"315,695"
04 years,2000,0,0,"312,976"
04 years,2001,0,0,"309,357"
04 years,2002,0,0,"306,092"
04 years,2003,0,0,"308,212"
04 years,2004,0,0,"311,282"
04 years,2005,0,0,"323,032"
04 years,2006,0,0,"322,001"
04 years,2007,0,0,"327,843"
04 years,2008,0,0,"335,173"
04 years,2009,0,0,"333,787"
04 years,2010,0,0,"340,180"
04 years,2011,0,0,"345,027"
04 years,2012,0,0,"346,344"
04 years,2013,0,0,"337,836"
04 years,2014,0,0,"338,822"
04 years,2015,0,0,"338,124"
04 years,2016,0,0,"334,993"
04 years,2017,0,0,"337,234"
04 years,2018,0,0,"336,362"
04 years,2019,0,0,"336,984"
05 years,1975-2019,0.0073,1,"13,687,746"
05 years,1975,0,0,"268,065"
05 years,1976,0,0,"275,238"
05 years,1977,0,0,"253,166"
05 years,1978,0,0,"239,901"
05 years,1979,0,0,"235,483"
05 years,1980,0,0,"242,536"
05 years,1981,0,0,"241,125"
05 years,1982,0,0,"254,388"
05 years,1983,0,0,"259,428"
05 years,1984,0,0,"269,727"
05 years,1985,0,0,"281,582"
05 years,1986,0,0,"286,074"
05 years,1987,0,0,"289,178"
05 years,1988,0,0,"290,877"
05 years,1989,0,0,"285,179"
05 years,1990,0,0,"295,590"
05 years,1991,0,0,"295,810"
05 years,1992,0,0,"297,123"
05 years,1993,0,0,"303,714"
05 years,1994,0,0,"312,303"
05 years,1995,0,0,"324,481"
05 years,1996,0,0,"325,629"
05 years,1997,0,0,"325,519"
05 years,1998,0,0,"322,617"
05 years,1999,0,0,"318,972"
05 years,2000,0,0,"317,330"
05 years,2001,0,0,"312,903"
05 years,2002,0,0,"308,512"
05 years,2003,0,0,"306,034"
05 years,2004,0,0,"308,691"
05 years,2005,0,0,"313,300"
05 years,2006,0,0,"326,773"
05 years,2007,0.307,1,"325,706"
05 years,2008,0,0,"332,460"
05 years,2009,0,0,"340,805"
05 years,2010,0,0,"338,858"
05 years,2011,0,0,"341,404"
05 years,2012,0,0,"346,099"
05 years,2013,0,0,"347,245"
05 years,2014,0,0,"338,830"
05 years,2015,0,0,"339,596"
05 years,2016,0,0,"339,339"
05 years,2017,0,0,"336,110"
05 years,2018,0,0,"337,586"
05 years,2019,0,0,"336,460"
06 years,1975-2019,0.0074,1,"13,602,836"
06 years,1975,0,0,"261,534"
06 years,1976,0,0,"268,562"
06 years,1977,0,0,"274,480"
06 years,1978,0,0,"252,152"
06 years,1979,0,0,"238,364"
06 years,1980,0,0,"235,471"
06 years,1981,0,0,"243,537"
06 years,1982,0,0,"242,201"
06 years,1983,0,0,"256,056"
06 years,1984,0,0,"260,397"
06 years,1985,0,0,"270,783"
06 years,1986,0,0,"280,834"
06 years,1987,0,0,"285,479"
06 years,1988,0,0,"289,116"
06 years,1989,0,0,"290,795"
06 years,1990,0,0,"286,591"
06 years,1991,0,0,"294,744"
06 years,1992,0.3389,1,"295,074"
06 years,1993,0,0,"297,663"
06 years,1994,0,0,"303,268"
06 years,1995,0,0,"312,029"
06 years,1996,0,0,"324,464"
06 years,1997,0,0,"325,925"
06 years,1998,0,0,"326,263"
06 years,1999,0,0,"322,182"
06 years,2000,0,0,"319,674"
06 years,2001,0,0,"316,162"
06 years,2002,0,0,"310,853"
06 years,2003,0,0,"305,949"
06 years,2004,0,0,"304,207"
06 years,2005,0,0,"306,752"
06 years,2006,0,0,"312,513"
06 years,2007,0,0,"324,919"
06 years,2008,0,0,"323,995"
06 years,2009,0,0,"330,075"
06 years,2010,0,0,"338,286"
06 years,2011,0,0,"340,007"
06 years,2012,0,0,"342,383"
06 years,2013,0,0,"347,358"
06 years,2014,0,0,"347,820"
06 years,2015,0,0,"339,678"
06 years,2016,0,0,"340,502"
06 years,2017,0,0,"340,438"
06 years,2018,0,0,"336,290"
06 years,2019,0,0,"337,011"
07 years,1975-2019,0.0147,2,"13,639,298"
07 years,1975,0,0,"260,584"
07 years,1976,0,0,"264,085"
07 years,1977,0,0,"270,899"
07 years,1978,0,0,"277,391"
07 years,1979,0,0,"255,294"
07 years,1980,0,0,"242,839"
07 years,1981,0,0,"239,961"
07 years,1982,0,0,"247,887"
07 years,1983,0,0,"246,761"
07 years,1984,0,0,"259,704"
07 years,1985,0,0,"263,791"
07 years,1986,0,0,"272,156"
07 years,1987,0,0,"281,916"
07 years,1988,0,0,"286,624"
07 years,1989,0,0,"289,857"
07 years,1990,0,0,"292,902"
07 years,1991,0,0,"287,680"
07 years,1992,0,0,"296,377"
07 years,1993,0,0,"298,266"
07 years,1994,0,0,"300,144"
07 years,1995,0,0,"306,242"
07 years,1996,0,0,"315,755"
07 years,1997,0,0,"328,995"
07 years,1998,0,0,"330,916"
07 years,1999,0,0,"331,960"
07 years,2000,0,0,"326,736"
07 years,2001,0,0,"319,447"
07 years,2002,0,0,"315,955"
07 years,2003,0,0,"311,219"
07 years,2004,0,0,"307,570"
07 years,2005,0,0,"306,596"
07 years,2006,0.3217,1,"310,837"
07 years,2007,0,0,"316,816"
07 years,2008,0,0,"330,149"
07 years,2009,0,0,"329,570"
07 years,2010,0,0,"335,060"
07 years,2011,0,0,"339,554"
07 years,2012,0,0,"341,257"
07 years,2013,0,0,"343,552"
07 years,2014,0,0,"348,175"
07 years,2015,0,0,"349,041"
07 years,2016,0,0,"340,781"
07 years,2017,0.2929,1,"341,416"
07 years,2018,0,0,"340,466"
07 years,2019,0,0,"336,115"
08 years,1975-2019,0.0074,1,"13,427,130"
08 years,1975,0,0,"261,335"
08 years,1976,0,0,"254,909"
08 years,1977,0,0,"257,365"
08 years,1978,0,0,"263,656"
08 years,1979,0,0,"269,518"
08 years,1980,0,0,"249,233"
08 years,1981,0,0,"238,165"
08 years,1982,0,0,"234,933"
08 years,1983,0,0,"242,795"
08 years,1984,0,0,"240,557"
08 years,1985,0,0,"252,845"
08 years,1986,0,0,"254,654"
08 years,1987,0,0,"262,342"
08 years,1988,0,0,"272,054"
08 years,1989,0,0,"276,072"
08 years,1990,0,0,"281,607"
08 years,1991,0,0,"283,325"
08 years,1992,0,0,"279,482"
08 years,1993,0,0,"290,081"
08 years,1994,0,0,"292,098"
08 years,1995,0,0,"295,077"
08 years,1996,0,0,"302,520"
08 years,1997,0,0,"313,427"
08 years,1998,0,0,"327,929"
08 years,1999,0,0,"330,624"
08 years,2000,0,0,"330,734"
08 years,2001,0,0,"326,573"
08 years,2002,0,0,"318,426"
08 years,2003,0.317,1,"315,499"
08 years,2004,0,0,"311,306"
08 years,2005,0,0,"308,368"
08 years,2006,0,0,"308,522"
08 years,2007,0,0,"312,801"
08 years,2008,0,0,"318,973"
08 years,2009,0,0,"332,759"
08 years,2010,0,0,"330,975"
08 years,2011,0,0,"336,454"
08 years,2012,0,0,"340,577"
08 years,2013,0,0,"342,423"
08 years,2014,0,0,"344,254"
08 years,2015,0,0,"349,171"
08 years,2016,0,0,"350,002"
08 years,2017,0,0,"341,174"
08 years,2018,0,0,"341,299"
08 years,2019,0,0,"340,237"
09 years,1975-2019,0.0073,1,"13,739,044"
09 years,1975,0,0,"276,376"
09 years,1976,0,0,"269,579"
09 years,1977,0,0,"263,539"
09 years,1978,0,0,"267,505"
09 years,1979,0,0,"275,380"
09 years,1980,0,0,"282,132"
09 years,1981,0,0,"263,183"
09 years,1982,0,0,"252,134"
09 years,1983,0,0,"249,794"
09 years,1984,0,0,"257,822"
09 years,1985,0,0,"256,145"
09 years,1986,0,0,"267,784"
09 years,1987,0,0,"270,462"
09 years,1988,0,0,"279,582"
09 years,1989,0,0,"290,516"
